Variable,Original,Translation
ldstr.207b6a187b443a848ff96f8f70683185, Forward grip ensures weapon stability.,La empuñadura delantera asegura la estabilidad del arma.
ldstr.dabe801ee4545fef7a302ef073589c43, Has {0}% chance to critically heal for double the amount.,Tiene un {0}% de probabilidad de curar críticamente el doble de la cantidad.
ldstr.f9231e8c7b15f4db372ba856e68b69d2, I'm also always looking to buy ,También siempre estoy buscando para comprar
ldstr.751cea617ae9be2161396d4753fe5329," Instead of the usual reloading mechanism, it has a rapid reloader.","En lugar del mecanismo de recarga habitual, tiene un recargador rápido."
ldstr.6670c5f96439f7d257e63416db5b6a97, It also comes with a shield for extra protection against melee attacks.,También viene con un escudo para protección adicional contra ataques cuerpo a cuerpo.
ldstr.1d6a43f467ffd9a271f7ce622d02c899, It also comes with a {0} shield for extra protection against melee attacks.,También viene con un escudo {0} para protección adicional contra ataques cuerpo a cuerpo.
ldstr.87dcd043d5a38dbf6745b41167a1efca, It has a long barrel for increased range.,Tiene un cañón largo para mayor alcance.
ldstr.4486b0b119a7bff83520085e6a6507f3," It is equipped with a laser sight, allowing for easier aiming.","Está equipado con una mira láser, lo que facilita apuntar."
ldstr.3bc59751590687f3ef32b26fa7125d12, It is equipped with ammo belt that can house {0} rounds.,Está equipado con un cinturón de munición que puede albergar {0} rondas.
ldstr.1efed4acf6fa5690089c315ccf30c4a7, It is equipped with an especially strong string.,Está equipado con una cuerda especialmente resistente.
ldstr.f5050ebf809d0d39110f25dcb6bf065c," It is equipped with bipod attachment, allowing for better, although slower, aiming.","Está equipado con un accesorio de bípode, lo que permite apuntar mejor, aunque más lentamente."
ldstr.6e1becf3379cede66f003ca2e35d20bd, It is equipped with {0} capacity box magazine.,Está equipado con un cargador de caja de capacidad {0}.
ldstr.99eda499b2b54b8f73ef586d398791ab, It sports a circular wave amplifier that periodically amplifies energy output.,Luce un amplificador de onda circular que amplifica periódicamente la salida de energía.
ldstr.ca30308f55ab14afcded6ffa14a1f244, It sports a combat-ready headlight.,Luce un faro listo para el combate.
ldstr.2e9a5cc081146237c66065d9f5ed7f33, It sports a module that runs targeting assistance software which increases efficiency of precision shots.,Luce un módulo que ejecuta un software de asistencia de puntería que aumenta la eficiencia de los disparos de precisión.
ldstr.3d09398e807091e9dad82e3c4decd33b, It sports a scope with a range finder that allows for increased precision.,Luce una mira telescópica con un telémetro que permite una mayor precisión.
ldstr.f5651cc9501f0482fa4899f256babe5d, It sports a simple grenade launcher iron sight.,Luce una mira de hierro de lanzagranadas simple.
ldstr.312dff82fbd7991635566d518c22c370, It sports an airburst capable scope that both increases precision and times grenades to explode before surface impact.,Luce una mira telescópica con capacidad de detonación aérea que aumenta la precisión y temporiza las granadas para que exploten antes del impacto en la superficie.
ldstr.bd9d441c45d36cbe3236878019a6aad3, It sports an extended magazine which stores a total of {0} rounds.,Luce un cargador extendido que almacena un total de {0} rondas.
ldstr.a1c9f1c91409c57b301a1dad8e896663, It's decorated with blades and spikes that can inflict additional damage to your opponents in melee combat.,Está decorada con cuchillas y pinchos que pueden infligir daño adicional a tus oponentes en combate cuerpo a cuerpo.
ldstr.728967d3b947bde3eba50f1ecb112bd1, It's decorated with serrated blades that can inflict additional damage to your opponents in melee combat.,Está decorada con cuchillas serradas que pueden infligir daño adicional a tus oponentes en combate cuerpo a cuerpo.
ldstr.9770973c8c58616f38d62a401a3991fb, It's decorated with spikes that can inflict additional damage to your opponents in melee combat.,Está decorada con pinchos que pueden infligir daño adicional a tus oponentes en combate cuerpo a cuerpo.
ldstr.764ba34dff6b1173f06ae33f24040b32, It's equipped with a digital scope that provides high precision targeting.,Está equipado con una mira digital que proporciona una puntería de alta precisión.
ldstr.7406f0b09265e8f756828503d5b39c64, It's equipped with a reflex sight that allows for quick target acquisition.,Está equipado con una mira réflex que permite una rápida adquisición del objetivo.
ldstr.617527c33f44bf5598e33de70d64b12e, It's equipped with a scope that has an integrated computer which can recognize general anatomy of mammals and insectoids.,Está equipado con una mira telescópica que tiene un ordenador integrado que puede reconocer la anatomía general de mamíferos e insectoides.
ldstr.bb23f9a38cc5fab66919f7e7be0feeb0, It's reinforced with additional metal plates.,Está reforzado con placas de metal adicionales.
ldstr.cb9bcf23efa772085c9590ee36f799d8, It's sporting a shorter than regular barrel.,Luce un cañón más corto de lo habitual.
ldstr.20f1a93834587f0ae5ec97ba870e1678, Its aiming precision is increased by the mounted scope.,Su precisión al apuntar se ve aumentada por la mira telescópica montada.
ldstr.c63de3dccf468afe9853e30961136ea3, Its reloading speed is enhanced by a pneumatic reloading mechanism mounted to its sides.,Su velocidad de recarga se ve mejorada por un mecanismo de recarga neumático montado a sus lados.
ldstr.60d6dc87896d489586d000e9fb2062aa, Magazine capacity is increased throgh tube extension.,La capacidad del cargador se incrementa mediante la extensión del tubo.
ldstr.06f7fbc45e2a78fd51e561789e808b5d," Special ergonomic handle improves weapon control, especially when shooting on the move.","La empuñadura ergonómica especial mejora el control del arma, especialmente al disparar en movimiento."
ldstr.a8b5d48aa8a902fbd529d1125d9cccef, Stacks {3} times. If this poison is allowed to expire naturally it will then deal a great amount of damage which increases ever more rapidly with each stack.,"Se acumula {3} veces. Si se permite que este veneno expire de forma natural, infligirá una gran cantidad de daño que aumenta aún más rápidamente con cada acumulación."
ldstr.7682eae06ee9617af7aee668e7689948, The installed energy converter reduces the energy usage per shot.,El convertidor de energía instalado reduce el consumo de energía por disparo.
ldstr.f3e2a0e41cbc8e4265f36fcb9fd17c6e, The mounted pneumatic barrel retractor makes it more wieldy when used in close quarters combat.,El retractor neumático del cañón montado lo hace más manejable cuando se usa en combate cuerpo a cuerpo.
ldstr.2c87333379c02189404c44e728efbcd3, The polarizer attached below the emitter enables the energy projectile to make the target more vulnerable for subsequent attacks.,El polarizador conectado debajo del emisor permite que el proyectil de energía haga que el objetivo sea más vulnerable a ataques posteriores.
ldstr.aee2dee96f01c5dfe7344f2828aa4498," The silencer will make sure almost no noise is emitted when fired, but at the cost of power.","El silenciador se asegurará de que casi no se emita ruido al disparar, pero a costa de la potencia."
ldstr.301c7182a017228088da2a97b7e5ef9b, They also sport menacing serrated blades at their tips that can inflict additional damage to your opponents in melee combat.,También lucen amenazantes cuchillas serradas en sus puntas que pueden infligir daño adicional a tus oponentes en combate cuerpo a cuerpo.
ldstr.e89d5d5a9af054d0516adb6ce1541583, They also sport menacing spikes at their tips that can inflict additional damage to your opponents in melee combat.,También lucen amenazantes pinchos en sus puntas que pueden infligir daño adicional a tus oponentes en combate cuerpo a cuerpo.
ldstr.f088503a9dcbcdb9aea96513f5b8945b, They are enhanced with {0} serrated blades that can inflict bleeding wounds.,Están mejoradas con {0} cuchillas serradas que pueden infligir heridas sangrantes.
ldstr.352ea0d6cbf75b3066969c03c899eb9d," They are enhanced with {0} spikes that can puncture the target, dealing extra damage.","Están mejoradas con {0} pinchos que pueden perforar al objetivo, infligiendo daño extra."
ldstr.e262b7607410077c5e4e81af58f2e179, They are reinforced with {0} plates to pack some extra punch.,Están reforzadas con placas {0} para dar un golpe extra.
ldstr.0fc3350ce7f1abeb69b8ad443e9a3bf8, They're also reinforced with {0}metal plates.,También están reforzadas con placas de metal {0}.
ldstr.e50d3c03aea89f8081c68cc39280461b, With your effective hacking skill you could disable a lock of up to {0} difficulty rating with this device.,Con tu habilidad efectiva de hackeo podrías desactivar una cerradura de hasta {0} de índice de dificultad con este dispositivo.
ldstr.763ba6001aa2d994339527749bccc24e, With your effective lockpicking skill you could hotwire an ignition lock of up to {0} difficulty rating.,Con tu habilidad efectiva de ganzúa podrías puentear un contacto de encendido de hasta {0} de índice de dificultad.
ldstr.8ed1f783ff0cd9e3c3e9cbc7310dad6b, With your effective lockpicking skill you could pick a lock of up to {0} difficulty rating with this lockpick.,Con tu habilidad efectiva de ganzúa podrías abrir una cerradura de hasta {0} de índice de dificultad con esta ganzúa.
ldstr.12dd1ba3b64020015e1b70bd77c2f9ed, [completely encumbered],[completamente sobrecargado]
ldstr.bfd75753977f7bfabf73c6531593601d, [heavily encumbered],[muy sobrecargado]
ldstr.3dbb9c03d4aaf42ccffff220e24c3886, [lightly encumbered],[ligeramente sobrecargado]
ldstr.628988d352159291421c97906ddf68ce, [too difficult],[demasiado difícil]
ldstr.80178b051ebaf7530abedc160f6e1e3c," a black dragon,","un dragón negro,"
ldstr.de851f54cd99ecd1830e849a19a7b56c," a demon squid,","un calamar demoníaco,"
ldstr.4ac2f173f7c7d8798dc6698442958856," a ghostface,","un carafantasma,"
ldstr.1c55ef550b37e0a7c3ac77f57d315de1," a minihead,","un cabezachica,"
ldstr.6737d1806113d559ee998252ece8753a," a pentapus,","un pentápodo,"
ldstr.e044b7fbbd62415af1aca14785d3efae," a phantom jelly,","una medusa fantasma,"
ldstr.1e258bf6f825322e6b98ca9d5e999b0c," a shrimp,","un camarón,"
ldstr.06c202eb73f24e5a0529c57b2fc2cc74," a slackjaw,","un mandíbula floja,"
ldstr.514d2d63b75aefc56cd388ef1c8466ee," a walking fish,","un pez caminante,"
ldstr.811052a66ef299aefadbb0f286fa3523, action point,punto de acción
ldstr.857fe46a930fc11385b2c568e68271b5, action points from fatal throw.,puntos de acción por lanzamiento fatal.
ldstr.df511f3a3981d12f4074f6e86728d7a0, action points.,puntos de acción.
ldstr.b78058fe0446da352b50dba0b69a658a," an anglerfish,","un rape abisal,"
ldstr.33084cee3d6a71207028898d636dc8cd, and movement points by {0},y puntos de movimiento en {0}
ldstr.a459fd8a6204551da1f8bc68bb21d58d, as initiator,como iniciador
ldstr.c48dbb760eb8643a73068d685dbc544d, as it plunges to the ground! The race takes down another great contender. May it rest well.,¡mientras se desploma contra el suelo! La carrera se cobra a otro gran contendiente. Que descanse en paz.
ldstr.fd68cc2cfadc1ed0d61169fee2b76d92, become Invictus or join the one hundred and fifty six gladiators slain by Dread Lord?,¿convertirse en Invictus o unirse a los ciento cincuenta y seis gladiadores asesinados por el Señor del Terror?
ldstr.e5874ebfcf7632c87215f78905979084, by being a total commando.,por ser un comando total.
ldstr.ba9ea14b17f5458b78d66876782306c7, by escaping bonds.,por escapar de las ataduras.
ldstr.9f53dad0b3fc07531a897ffe9aab7d4a, cannot be initialized. Dependant module not loaded: ,no se puede inicializar. Módulo dependiente no cargado:
ldstr.268bd7273a3a89c5d44b5493bf56f3ba, confront Dread Lord?,¿enfrentarse al Señor del Terror?
ldstr.328a25a5935768079cfe0cd7fb99579b, does not exist in ,no existe en
ldstr.5e2b8f4e9407858a72028e650fec2390, goes down for it just like that!,¡cae por ello así como así!
ldstr.970856514f543c59aa39419b627d3d9c, has fallen for the greater good. But its name will live on forever. HOPPERDROME!,ha caído por el bien mayor. Pero su nombre vivirá para siempre. ¡HOPPERDROME!
ldstr.d12ae652670124bd59906f45e63f81f3," has fallen on this day! We will not forget you, friend.","¡ha caído en este día! No te olvidaremos, amigo."
ldstr.cde60ecd133998e800a0d2b4ae1543bb, head gets a free dose!,¡la cabeza recibe una dosis gratis!
ldstr.f7054067c649d86cf44120b3235bb2a1, is dominating!,¡está dominando!
ldstr.a2011d0017d0558163bdb469927accf0, is going the wrong waaaay!,¡va en la dirección equivocaaaaada!
ldstr.08ef31d7bddd2f1951cc8ef18b663a0e," is just killing everyone, including some of the best gladiators!","¡está matando a todo el mundo, incluidos algunos de los mejores gladiadores!"
ldstr.24f4d3d31b6f50cfbeabdb3af5845da6, is no easy target!,¡no es un blanco fácil!
ldstr.d4817e7f21aefae8edb5ffde74b5e16c, is no more!,¡ya no existe!
ldstr.2f0e7750fd231c0459bc705f3f7e3513, is the new Invictus!,¡es el nuevo Invictus!
ldstr.d1db5a4de522fff9c121a897aa63302b, is the winner once more.,es el ganador una vez más.
ldstr.6583c5b2abcafeb7e5be04759b94bc52, lap for *,vuelta para *
ldstr.261062c8299d464763dc0020b79f9a7a, lap is always intense!,¡la vuelta siempre es intensa!
ldstr.5a4f993bd7dcc497c9809bdcf151490e, lap! How amazing is that?!,¡vuelta! ¿¡Qué increíble es eso?!
ldstr.7efbf4e83ba099ffc109d1bf20dda875, lap! Outstanding performance!,¡vuelta! ¡Actuación sobresaliente!
ldstr.d2255fc0372276bfcb32aca69155a874, lap! That was hardcore!,¡vuelta! ¡Eso fue hardcore!
ldstr.08058b684703f291e26e42be47d0ce43, movement point,punto de movimiento
ldstr.1db5e03bd26217094702a0f8f2f1102f, movement points due to walking over sticky spider web.,puntos de movimiento debido a caminar sobre tela de araña pegajosa.
ldstr.90e5b23206c9e3f6e082d758980a3076, movement points due to walking through sticky oil.,puntos de movimiento debido a caminar a través de aceite pegajoso.
ldstr.15742adaca50479225012719433a6756, movement points.,puntos de movimiento.
ldstr.af777ec481a0ab5ea7ae330a0731db8b, of the occupying item's requirements.,de los requisitos del objeto que lo ocupa.
ldstr.05b04b32ea3eb42defc5a9a65c05d461, of {0}'s shield.,del escudo de {0}.
ldstr.458a849ffbdcabadcd08198236fb6f4f, on the other.,en el otro.
ldstr.068cc56adfacb490ffb4f796601d1a77, psi abilities,habilidades psi
ldstr.61471ea9ecf04335b6b5aca8a383adc9, reserve psi points.,puntos psi de reserva.
ldstr.efcec8ffd3827c4c99c4b11557bf4e3a, succumbs to its wounds! Tragic and heroic.,¡sucumbe a sus heridas! Trágico y heroico.
ldstr.e457a0e030186ac961eb629a13f33838, through fancy footwork.,mediante un elegante juego de pies.
ldstr.73ab43cb7bb2494891690c7e2d69e716, through hit and run tactics.,mediante tácticas de golpear y huir.
ldstr.c31a5826b5cbd60bdeb64c9a844d7500, through shooting spree.,mediante una ráfaga de disparos.
ldstr.d7acb5e60f278468add1c7f95623e3c3," to battle Dread Lord, the current Invictus.","para luchar contra el Señor del Terror, el actual Invictus."
ldstr.5b46346bedbb59062fde946293d8f5fe," was about to dominate the race, its heart failed it. Be proud of your champion, dear fans, it gave everything it could to win the race for you.","estaba a punto de dominar la carrera, su corazón le falló. Estad orgullosos de vuestro campeón, queridos fans, dio todo lo que pudo para ganar la carrera por vosotros."
ldstr.2e39f7f255a783066cf330e3ecfe5258, when not in stealth,cuando no está en sigilo
ldstr.d5dfe7ec3184ae6a1d5a8f12eecd00b3, while not in stealth,mientras no está en sigilo
ldstr.96f51471b4428810539b899a0a2359dd, with Headlight,con Faro
ldstr.2ad024451879ad34851e20a498ee9894, with Shield,con Escudo
ldstr.49287a724a19acfa78a8470794ecd2c1, with a ,con un
ldstr.000a480f54aaa4c23929314c5b70424b, with {0} Shield,con Escudo {0}
ldstr.088f5e6a727168e4dba5057ec053c7d8, with {2},con {2}
ldstr.79dcbece061c0d7deeeedbaf5417f5ff, x [val]{1}[/val],x [val]{1}[/val]
ldstr.1ea91d5bbe166f8c987589bd6349b64e, {2} for ,{2} para
ldstr.376905b7f35ff439e5c877c886a8b6a9, {2}'s vehicle for ,el vehículo de {2} para
ldstr.4913612c20daf780ce70628a1edec14a,! And a sad day for its fans...HOPPERDROME takes another competitor to its glorious hall of fallen racers as ,! Y un día triste para sus fans... HOPPERDROME se lleva a otro competidor a su glorioso salón de corredores caídos mientras
ldstr.83094569e49fad1ef49b766b4bd81f1d,! Give us a bloodbath!,! ¡Dadnos un baño de sangre!
ldstr.7f123ddd28aad5b3e3bd27502fe067f3,! How will this affect the tide of the race!?,! ¿¡Cómo afectará esto al rumbo de la carrera!?
ldstr.416e180279014974c76d424b09bbcd74,! The crowd is chanting ,! La multitud está coreando
ldstr.85e457acb1fd116fb82cb19e1360d9ec,! Well done!,! ¡Bien hecho!
ldstr.de60c9266c36995c168176827e324788,"!* Hell yeah, you can do it!","!* ¡Claro que sí, tú puedes!"
ldstr.bd5d5a92d8989e8d6f7a975810de3161,!Failed to retrieve capability!,!¡Fallo al recuperar la capacidad!
ldstr.824565cac715e1e77c73d9a135ed7625,"""Place the tip of the scalpel just below the sternum...""","""Coloca la punta del bisturí justo debajo del esternón..."""
ldstr.d51d4ec24942942f51fc3bc4dd831a36,"""{0}"" : {1}","""{0}"" : {1}"
ldstr.eb4887b1c24386e6cb26446d239e9996,#AB000100/12:20 - ...by Biocorp Armory with the purpose of storage and assembly of naval assets for the glorious...,#AB000100/12:20 - ...por Biocorp Armory con el propósito de almacenamiento y ensamblaje de activos navales para la gloriosa...
ldstr.763fa2ed69480aeb2e0c70036e61488e,#AD032250/21:05 - ...#HM020H arrives with Biocorp Industries-made shells compatible with the mutagen-filled warheads for Strike Group Ceto...,#AD032250/21:05 - ...#HM020H llega con proyectiles fabricados por Biocorp Industries compatibles con las ojivas llenas de mutágeno para el Grupo de Ataque Ceto...
ldstr.3e04e9f172ffe4bf7b797f0b43f91d5a,"#AD032390/07:50 - ...#HM020H arrives with replacement parts, as the much-grieved accident with a faulty mutagen warhead...","#AD032390/07:50 - ...#HM020H llega con piezas de repuesto, ya que el muy lamentado accidente con una ojiva mutágena defectuosa..."
ldstr.3dd095223248b74be687e8f5ae41fd81,"#AD032447/02:30 - ...vessel #CM025B arrives to carry ordnance to Strike Group Ceto, to be used against the evil...","#AD032447/02:30 - ...la embarcación #CM025B llega para transportar municiones al Grupo de Ataque Ceto, para ser utilizadas contra el mal..."
ldstr.c0eadf61d51af1380fa24ed62e8eda57,#AD032452/04:15 - Biocorp Undernavy vessel #CM025B departs for the heroic Strike Group Ceto...,#AD032452/04:15 - La embarcación #CM025B de la Undernavy de Biocorp parte hacia el heroico Grupo de Ataque Ceto...
ldstr.26a60a1df403b49ee027677fe1118f26,"#AS000337/23:40 - ...Vessel #PC001A arrives, carrying the expert Biocorp Armory inspectors, whom are an essential instrument in the...","#AS000337/23:40 - ...La embarcación #PC001A llega, transportando a los inspectores expertos de Biocorp Armory, quienes son un instrumento esencial en la..."
ldstr.d593b0b846b150dc81086d32c304a47f,"#AX006221/08:45 - ...last Biocorp Undernavy vessel, its departure marking an end of an era emblazoned with...","#AX006221/08:45 - ...última embarcación de la Undernavy de Biocorp, su partida marca el fin de una era grabada con..."
ldstr.40c4d2429a51f220cd23f1116015a423,"#ERROR - ...broken, another proof that this entire series of exoskeleton grabber modules is faulty. The materials used are clearly...","#ERROR - ...roto, otra prueba de que toda esta serie de módulos de agarre de exoesqueleto es defectuosa. Los materiales utilizados son claramente..."
ldstr.4e6fb03dc1bdb3e83f3e35e77eab469b,"#ERROR - ...by Biocorp Industries for assembly. We've already received the specification files for the jet ski parts, and a range of models...","#ERROR - ...por Biocorp Industries para el ensamblaje. Ya hemos recibido los archivos de especificaciones para las piezas de las motos acuáticas, y una gama de modelos..."
ldstr.2dd86c6ba9bd78be57e5554459754725,#ERROR - ...canister shells intended for Ceto as they were loaded onto the ship. We inspected the grabbers used by the exoskeleton...,#ERROR - ...proyectiles de canister destinados a Ceto mientras se cargaban en el barco. Inspeccionamos los agarres utilizados por el exoesqueleto...
ldstr.d43a52a432ed84a5054e09db28521440,"#ERROR - ...determined that there were no faults with the mutagen warhead, and that the incident happened because of incorrect handling by the operator. The Biocorp...","#ERROR - ...determinó que no había fallos con la ojiva mutágena, y que el incidente ocurrió debido a un manejo incorrecto por parte del operador. La Biocorp..."
ldstr.67ec068878ae5958694b426f01b0de71,#ERROR - ...disbandment of Biocorp Undernavy. We will be working overtime in order to assemble all the jet skis the Waterway Guard...,#ERROR - ...disolución de la Undernavy de Biocorp. Trabajaremos horas extras para ensamblar todas las motos acuáticas que la Guardia Fluvial...
ldstr.8914005de3793d5bb9a57e4069b41580,"#ERROR - ...for Strike Group Ceto. The canister shell that fell from the rack was empty, but if the...","#ERROR - ...para el Grupo de Ataque Ceto. El proyectil de canister que cayó del estante estaba vacío, pero si el..."
ldstr.847b1434db560202d00258e20c45c6e1,#ERROR - ...from Biocorp Armory to Biocorp Industries. The entire machine shop will be outfitted with...,#ERROR - ...de Biocorp Armory a Biocorp Industries. Todo el taller de maquinaria estará equipado con...
ldstr.f3c3afd55ab6c5c3a6039d1c7e899cb9,#ERROR - ...including the limited series jet ski engines and batteries from Biocorp Armory which have arrived today. The testing will take approximately...,#ERROR - ...incluidos los motores y baterías de motos acuáticas de serie limitada de Biocorp Armory que han llegado hoy. Las pruebas durarán aproximadamente...
ldstr.0b6a2b7710abc4c29747c055d765b3c0,"#ERROR - ...individual relays for the two sonar stations. After the repairs are completed, Biocorp Undernavy official instructed us to transport the stations and all the relays to North...","#ERROR - ...relés individuales para las dos estaciones de sonar. Una vez completadas las reparaciones, el oficial de la Undernavy de Biocorp nos ordenó transportar las estaciones y todos los relés al Norte..."
ldstr.ba13b162aa1e5bcb8b6db05bf8f75c4e,#ERROR - ...leftover canister shells unused by Ceto will remain in the facility. They are stored according to...,#ERROR - ...los proyectiles de canister sobrantes no utilizados por Ceto permanecerán en la instalación. Se almacenan de acuerdo con...
ldstr.54af8a6d6c405c476741f6f8d2634960,"#ERROR - ...no more live specimens from Hollow Earth. New ones will be arriving in a few days, so the containment area will need new electric...","#ERROR - ...no más especímenes vivos de la Tierra Hueca. Llegarán nuevos en unos días, por lo que el área de contención necesitará nueva energía eléctrica..."
ldstr.b46b292810917f7f4a04bd7e57862f74,#ERROR - ...numerous scavengers near the junkyard. Due to the high volatility of the last...,#ERROR - ...numerosos carroñeros cerca del depósito de chatarra. Debido a la alta volatilidad de la última...
ldstr.ce1e2723b50ae82399f0956fe234dbaf,#ERROR - ...repair the second elevator to Hollow Earth. This cannot be done before the shipment from Biocorp Industries arrives...,#ERROR - ...reparar el segundo ascensor a la Tierra Hueca. Esto no se puede hacer antes de que llegue el envío de Biocorp Industries...
ldstr.80b1c2544bc3978950c3ecdad8a1af05,"#ERROR - ...rig the mechanism, per technocrats' request, to release the mutagen gas in quantities...","#ERROR - ...manipular el mecanismo, a petición de los tecnócratas, para liberar el gas mutágeno en cantidades..."
ldstr.3fd56884575af40321f647b22dd6d317,"#ERROR - ...rocket launching system for one of these new Biocorp Armory combat jets. Additionally, the advanced sonar...","#ERROR - ...sistema de lanzamiento de cohetes para uno de estos nuevos jets de combate de Biocorp Armory. Además, el sonar avanzado..."
ldstr.f7bbbb8c46fe0737fa2e8ec396a45403,#ERROR - ...seventeen out of twenty-four power units straight to southern junkyard and...,#ERROR - ...diecisiete de veinticuatro unidades de energía directamente al depósito de chatarra del sur y...
ldstr.097226a8f5fbb27f80e6c571315298e5,#ERROR - ...the Undernavy inspection team have checked all of the mutagen warheads and are pleased...,#ERROR - ...el equipo de inspección de la Undernavy ha revisado todas las ojivas mutágenas y está satisfecho con...
ldstr.69c27f29fb6900eb85e8a591de710287,"#ERROR - ...to a different location, as the Junkyard settlement has grown too large...","#ERROR - ...a una ubicación diferente, ya que el asentamiento del Depósito de Chatarra ha crecido demasiado..."
ldstr.91b8fe66eb7a3e9be378a4cb5a4a1596,"#ERROR - ...to conduct another experiment. The installation was overseen by the technocrats personally, and the disposal of the...","#ERROR - ...para realizar otro experimento. La instalación fue supervisada personalmente por los tecnócratas, y la eliminación de la..."
ldstr.685845e8d07e08a131d7d27f0a619387,#ERROR - ...to fine-tune the equipment brought from Hollow Earth by the technocrats. These include two units for chemical...,#ERROR - ...para ajustar el equipo traído de la Tierra Hueca por los tecnócratas. Estos incluyen dos unidades para químicos...
ldstr.500b2dbcd0ab59e8f8b82d1f6d7a1104,"#ERROR - ...to leak, as one of the workers thought would be funny to shove a screwdriver right into the back of the exoskeleton...","#ERROR - ...tener fugas, ya que a uno de los trabajadores le pareció divertido clavar un destornillador justo en la parte posterior del exoesqueleto..."
ldstr.def30863cff5ef722bfc9ee7ab9af97d,#ERROR - ...which caused the power pack to explode and kill the exoskeleton operator. New power packs have been ordered...,#ERROR - ...lo que provocó que la batería explotara y matara al operador del exoesqueleto. Se han pedido nuevas baterías...
ldstr.8b7d08fea870143df152ea33317265d4,#ERROR: Blueprint not found,#ERROR: Plano no encontrado
ldstr.945cbdbb5807a6361e59d32cb74d2c94,#ERROR: Controls disonnected,#ERROR: Controles desconectados
ldstr.e5715e8a0251c507f3485731962b7fd9,#ERROR: Document not found,#ERROR: Documento no encontrado
ldstr.2797cf9bac4a98bdf9c794b4ee372db8,#ERROR: Power controls disonnected,#ERROR: Controles de energía desconectados
ldstr.75ab6c14691f7600af0f690c6cd83601,#IA000001/07:00 - ...looking forward to the just-declared Biocorp Industries takeover and repurposing of this facility...,#IA000001/07:00 - ...con ganas de la recién declarada adquisición y reutilización de esta instalación por parte de Biocorp Industries...
